DAY,NUMBER_OF_ALL_ANIMALS,NUMBER_OF_LIVING_ANIMALS,FIELD_WITH_GRASS,FREE_FIELDS,MOST_POPULAR_GENOTYPE,AVG_ANIMALS_ENERGY,AVG_LENGTH_OF_LIFE,AVG_NUMBER_OF_CHILDREN
-,-,-,-,-,-,-,-,-
1,36,36,65,1502.0,S     NW     NE     NE     SW     SE,33.06,0.0,0.06
2,36,36,76,1487.0,S     NW     NE     NE     SW     SE,33.06,0.0,0.06
3,38,38,91,1475.0,S     NW     NE     NE     SW     SE,31.32,0.0,0.16
4,41,41,106,1459.0,S     NW     NE     NE     SW     SE,28.1,0.0,0.29
5,42,42,116,1443.0,NE     SE     NE     SW     S     SE,28.17,0.0,0.33
6,43,41,131,1430.0,NE     SE     NE     SW     S     SE,28.32,0.23,0.24
7,43,41,140,1416.0,NE     SE     NE     SW     S     SE,28.63,0.23,0.24
8,43,41,153,1404.0,NE     SE     NE     SW     S     SE,28.95,0.23,0.24
9,44,42,168,1392.0,NE     SE     NE     SW     S     SE,28.14,0.23,0.29
10,44,42,178,1380.0,NE     SE     NE     SW     S     SE,29.29,0.23,0.29
11,44,42,189,1369.0,NE     SE     NE     SW     S     SE,30.0,0.23,0.29
12,44,42,201,1357.0,NE     SE     NE     SW     S     SE,30.29,0.23,0.29
13,45,43,213,1346.0,NE     SE     NE     SW     S     SE,29.86,0.22,0.33
14,46,43,221,1337.0,NE     SE     NE     SW     S     SE,30.98,0.43,0.35
15,48,44,248,1322.0,NE     SE     NE     SW     S     SE,30.11,0.42,0.39
16,48,43,247,1311.0,NE     SE     NE     SW     S     SE,31.09,1.02,0.35
17,49,44,262,1296.0,NE     SE     NE     SW     S     SE,29.82,1.02,0.39
18,51,45,269,1287.0,NE     SE     NE     SW     S     SE,30.18,0.98,0.42
19,51,46,296,1273.0,NE     SE     NE     SW     S     SE,29.72,0.98,0.46
20,51,46,296,1258.0,NE     SE     NE     SW     S     SE,29.89,0.98,0.46
21,51,46,299,1249.0,NE     SE     NE     SW     S     SE,31.24,0.94,0.46
22,53,48,309,1242.0,NE     SE     NE     SW     S     SE,31.23,0.94,0.52
23,53,48,318,1228.0,NE     SE     NE     SW     S     SE,32.1,0.93,0.52
24,54,49,326,1220.0,NE     SE     NE     SW     S     SE,32.67,0.93,0.55
25,54,47,335,1212.0,NE     SE     NE     SW     S     SE,35.74,1.48,0.55
26,55,46,343,1206.0,NE     SE     NE     SW     S     SE,37.89,2.36,0.57
27,55,46,349,1196.0,NE     SE     NE     SW     S     SE,39.63,2.36,0.57
28,55,45,364,1191.0,NE     SE     NE     SW     S     SE,43.11,2.55,0.56
29,55,45,371,1185.0,NE     SE     NE     SW     S     SE,45.31,2.55,0.56
30,56,46,381,1176.0,NE     SE     NE     SW     S     SE,45.3,2.5,0.59
31,58,48,399,1165.0,NE     SE     NE     SW     S     SE,43.96,2.41,0.65
32,59,47,403,1155.0,NE     SE     NE     SW     S     SE,46.96,2.85,0.64
33,61,48,410,1152.0,NE     SE     NE     SW     S     SE,49.13,2.75,0.67
34,61,49,410,1145.0,NE     SE     NE     SW     S     SE,50.1,3.3,0.69
35,63,50,414,1141.0,NE     SE     NE     SW     S     SE,52.1,3.32,0.7
36,65,49,427,1134.0,NE     SE     NE     SW     S     SE,54.41,4.83,0.8
37,66,48,436,1126.0,S     NW     NE     NE     SW     SE,58.67,5.24,0.69
38,66,49,433,1119.0,S     NW     NE     NE     SW     SE,58.69,5.24,0.71
39,66,49,444,1111.0,S     NW     NE     NE     SW     SE,60.27,5.24,0.71
40,68,51,449,1107.0,S     NW     NE     NE     SW     SE,60.47,5.09,0.76
41,71,53,435,1101.0,S     NW     NE     NE     SW     SE,61.32,5.01,0.83
42,72,54,450,1098.0,S     NW     NE     NE     SW     SE,64.87,4.94,0.85
43,74,55,443,1101.0,S     NW     NE     NE     SW     SE,67.64,4.88,0.91
44,77,56,444,1094.0,S     NW     NE     NE     SW     SE,67.73,5.55,0.93
45,78,57,459,1088.0,S     NW     NE     NE     SW     SE,69.98,5.47,0.95
46,78,56,447,1084.0,S     NW     NE     NE     SW     SE,74.41,5.53,0.95
47,79,56,456,1085.0,S     NW     NE     NE     SW     SE,77.93,5.89,0.96
48,80,57,465,1082.0,S     NW     NE     NE     SW     SE,79.37,5.81,0.98
49,82,59,468,1080.0,SW     NW     SE     NE     NE     E,79.37,5.67,1.02
50,90,63,463,1076.0,SW     NW     SE     NE     NE     E,76.83,5.17,1.08
51,90,67,478,1066.0,SW     NW     SE     NE     NE     E,73.45,5.17,1.13
52,92,67,479,1062.0,SW     NW     SE     NE     NE     E,76.24,5.72,1.15
53,96,71,483,1056.0,SW     NW     SE     NE     NE     E,73.79,5.48,1.2
54,97,70,480,1058.0,SW     NW     SE     NE     NE     E,78.49,6.52,1.24
55,99,71,482,1055.0,SW     NW     SE     NE     NE     E,79.7,6.55,1.23
56,101,73,489,1047.0,SW     NW     SE     NE     NE     E,78.52,6.42,1.25
57,104,76,491,1045.0,SW     NW     SE     NE     NE     E,77.54,6.23,1.28
58,107,79,495,1041.0,SW     NW     SE     NE     NE     E,76.14,6.06,1.3
59,114,82,488,1039.0,SW     NW     SE     NE     NE     E,76.35,5.84,1.33
60,119,83,487,1042.0,SE     NE     NE     SW     S     SE,78.59,5.76,1.36
61,124,87,485,1043.0,SE     NE     NE     SW     S     SE,77.34,5.98,1.41
62,129,91,481,1040.0,SE     NE     NE     SW     S     SE,76.36,5.83,1.45
63,136,94,476,1042.0,SE     NE     NE     SW     S     SE,76.62,5.74,1.48
64,145,100,477,1047.0,SE     NE     NE     SW     S     SE,74.69,5.45,1.52
65,145,108,477,1043.0,SE     NE     NE     SW     S     SE,70.57,5.52,1.56
66,151,114,464,1040.0,W     E     S     SW     NE     NW,68.44,5.3,1.59
67,160,121,479,1034.0,W     E     S     SW     NE     NW,65.34,5.16,1.6
68,169,128,478,1029.0,W     E     S     SW     NE     NW,63.09,5.01,1.64
69,176,133,472,1026.0,W     E     S     SW     NE     NW,62.61,5.17,1.66
70,187,141,469,1030.0,W     E     S     SW     NE     NW,60.43,5.36,1.7
71,197,149,469,1023.0,W     E     S     SW     NE     NW,58.07,5.27,1.71
72,204,153,467,1019.0,W     E     S     SW     NE     NW,57.59,5.23,1.73
73,218,155,457,1016.0,W     E     S     SW     NE     NW,57.76,5.46,1.6
74,218,157,457,1023.0,W     E     S     SW     NE     NW,58.82,5.88,1.56
75,224,157,452,1027.0,W     E     S     SW     NE     NW,60.15,6.18,1.52
76,232,159,452,1028.0,W     E     S     SW     NE     NW,60.14,6.22,1.57
77,239,159,448,1029.0,W     E     S     SW     NE     NW,61.33,6.43,1.58
78,245,157,449,1028.0,W     E     S     SW     NE     NW,62.76,6.79,1.53
79,250,155,444,1032.0,W     E     S     SW     NE     NW,64.92,6.96,1.55
80,255,154,436,1037.0,W     E     S     SW     NE     NW,67.06,7.38,1.55
81,269,163,431,1052.0,W     E     S     SW     NE     NW,64.66,7.21,1.6
82,279,165,430,1050.0,W     E     S     SW     NE     NW,64.68,7.64,1.51
83,289,170,427,1042.0,W     E     S     SW     NE     NW,63.74,7.6,1.53
84,297,174,417,1041.0,W     E     S     SW     NE     NW,63.91,7.57,1.54
85,305,177,404,1058.0,W     E     S     SW     NE     NW,64.72,7.56,1.56
86,315,182,399,1068.0,W     E     S     SW     NE     NW,63.97,7.53,1.59
87,330,183,380,1055.0,W     E     S     SW     NE     NW,63.85,7.52,1.55
88,331,185,369,1056.0,W     E     S     SW     NE     NW,64.34,7.85,1.56
89,339,189,384,1065.0,W     E     S     SW     NE     NW,64.5,7.83,1.58
90,347,188,378,1076.0,W     E     S     SW     NE     NW,65.89,8.17,1.53
91,358,192,372,1077.0,W     E     S     SW     NE     NW,65.55,8.19,1.57
92,368,192,345,1085.0,W     E     S     SW     NE     NW,66.57,8.33,1.57
93,381,200,360,1085.0,W     E     S     SW     NE     NW,64.86,8.18,1.61
94,393,206,350,1089.0,W     E     S     SW     NE     NW,64.21,8.16,1.63
95,407,212,324,1091.0,W     E     S     SW     NE     NW,63.5,8.12,1.68
96,431,216,340,1093.0,W     E     S     SW     NE     NW,62.79,7.92,1.69
97,431,224,340,1080.0,W     E     S     SW     NE     NW,60.73,8.03,1.72
98,446,235,329,1086.0,W     E     S     SW     NE     NW,58.94,8.05,1.71
99,466,251,327,1097.0,W     E     S     SW     NE     NW,55.49,7.81,1.74
100,488,263,325,1081.0,W     E     S     SW     NE     NW,53.2,7.78,1.74
101,498,267,324,1065.0,W     E     S     SW     NE     NW,52.52,7.74,1.76
102,509,270,316,1071.0,W     E     S     SW     NE     NW,52.51,7.93,1.79
103,525,278,308,1077.0,W     E     S     SW     NE     NW,51.55,7.93,1.77
104,547,287,305,1091.0,W     E     S     SW     NE     NW,50.14,7.9,1.81
105,564,290,299,1091.0,W     E     S     SW     NE     NW,49.98,8.06,1.81
106,583,298,288,1096.0,W     E     S     SW     NE     NW,49.27,8.05,1.82
107,597,306,280,1096.0,W     E     S     SW     NE     NW,48.38,7.99,1.81
108,611,306,273,1096.0,W     E     S     SW     NE     NW,48.72,8.22,1.77
109,628,310,267,1104.0,W     E     S     SW     NE     NW,48.37,8.25,1.8
110,647,311,255,1127.0,W     E     S     SW     NE     NW,48.84,8.39,1.85
111,665,309,252,1124.0,W     E     S     SW     NE     NW,49.26,8.7,1.8
112,687,323,250,1118.0,W     E     S     SW     NE     NW,47.14,8.58,1.82
113,706,330,244,1115.0,W     E     S     SW     NE     NW,46.34,8.56,1.85
114,723,334,238,1105.0,W     E     S     SW     NE     NW,45.97,8.59,1.84
115,739,332,233,1118.0,W     E     S     SW     NE     NW,46.38,8.83,1.8
116,788,354,223,1108.0,W     E     S     SW     NE     NW,43.69,8.78,1.84
117,788,354,223,1108.0,W     E     S     SW     NE     NW,43.69,8.78,1.84
118,807,360,219,1103.0,W     E     S     SW     NE     NW,42.96,8.78,1.86
119,820,357,212,1109.0,W     E     S     SW     NE     NW,43.47,8.93,1.89
120,837,360,186,1120.0,W     E     S     SW     NE     NW,43.15,8.96,1.9
121,857,367,183,1121.0,W     E     S     SW     NE     NW,42.41,8.91,1.93
122,870,366,182,1103.0,W     E     S     SW     NE     NW,42.45,9.11,1.94
123,893,364,197,1125.0,W     E     S     SW     NE     NW,42.54,9.27,1.97
124,914,363,191,1125.0,NE     N     NE     SW     N     E,42.75,9.57,1.93
125,933,365,190,1134.0,NE     N     NE     SW     N     E,42.36,9.65,1.92
126,951,370,184,1135.0,NE     N     NE     SW     N     E,41.86,9.64,1.95
127,970,368,176,1136.0,NE     N     NE     SW     N     E,42.26,9.78,1.94
128,985,367,169,1134.0,NE     N     NE     SW     N     E,42.5,9.91,1.95
129,1004,372,167,1139.0,NE     N     NE     SW     N     E,41.8,9.92,1.98
130,1025,376,164,1149.0,NE     N     NE     SW     N     E,41.27,10.05,2.0
131,1042,375,161,1146.0,NE     N     NE     SW     N     E,41.29,10.22,2.02
132,1064,382,158,1153.0,NE     N     NE     SW     N     E,40.44,10.19,2.06
133,1088,394,158,1155.0,NE     N     NE     SW     N     E,38.96,10.19,2.05
134,1111,394,159,1146.0,NE     N     NE     SW     N     E,38.65,10.27,2.09
135,1139,405,156,1154.0,NE     N     NE     SW     N     E,37.47,10.23,2.09
136,1161,406,151,1148.0,NE     N     NE     SW     N     E,37.32,10.52,2.08
137,1185,409,146,1149.0,NE     N     NE     SW     N     E,36.99,10.6,2.09
138,1198,403,141,1147.0,NE     N     NE     SW     N     E,37.46,10.83,2.08
139,1221,414,135,1159.0,NE     N     NE     SW     N     E,36.44,10.73,2.1
140,1246,423,121,1149.0,NE     N     NE     SW     N     E,35.53,10.73,2.1
141,1266,426,124,1138.0,NE     N     NE     SW     N     E,34.75,10.72,2.13
142,1289,427,124,1159.0,NE     N     NE     SW     N     E,34.86,10.89,2.14
143,1313,427,119,1161.0,NE     N     NE     SW     N     E,34.76,11.1,2.15
144,1333,423,94,1163.0,NE     N     NE     SW     N     E,35.11,11.29,2.11
145,1355,428,90,1159.0,NE     N     NE     SW     N     E,34.47,11.27,2.14
146,1403,430,106,1183.0,NE     N     NE     SW     N     E,34.17,11.15,2.19
147,1417,427,96,1170.0,NE     SW     NE     NW     W     W,34.05,11.32,2.16
148,1451,425,113,1164.0,NE     N     NE     SW     N     E,33.68,11.33,2.16
149,1475,435,100,1172.0,NE     N     NE     SW     N     E,32.51,11.37,2.16
150,1478,439,115,1171.0,NE     N     NE     SW     N     E,31.8,11.72,2.05
151,1495,431,103,1163.0,NE     N     NE     SW     N     E,31.98,11.85,2.04
152,1512,425,118,1165.0,NW     W     W     N     E     S,32.06,12.06,2.03
153,1526,413,117,1161.0,NW     W     W     N     E     S,32.72,12.22,2.05
154,1541,408,111,1175.0,NW     W     W     N     E     S,33.09,12.29,2.08
155,1559,404,115,1181.0,NE     NW     SW     NE     N     NW,32.95,12.43,2.09
156,1579,401,114,1192.0,NE     N     SE     N     SW     W,32.97,12.5,2.12
157,1593,384,110,1178.0,NE     N     SE     N     SW     W,34.35,12.76,2.07
158,1611,380,111,1192.0,NE     N     SE     N     SW     W,34.42,12.91,1.97
159,1633,382,98,1197.0,NE     N     SE     N     SW     W,33.87,12.91,2.02
160,1652,373,113,1199.0,SW     SW     E     W     S     W,34.51,13.11,1.99
161,1670,365,116,1200.0,SW     SW     E     W     S     W,34.9,13.19,2.03
162,1678,357,120,1200.0,SW     SW     E     W     S     W,35.26,13.25,2.06
163,1692,350,119,1208.0,SW     SW     E     W     S     W,35.83,13.39,2.08
164,1712,350,105,1216.0,NE     E     NW     N     N     NW,35.96,13.4,2.11
165,1718,343,99,1197.0,NE     E     NW     N     N     NW,36.14,13.54,2.13
166,1731,334,114,1222.0,NE     E     NW     N     N     NW,37.28,13.66,2.16
167,1757,326,103,1224.0,NE     E     NW     N     N     NW,38.28,13.62,2.2
168,1757,327,118,1217.0,NE     E     NW     N     N     NW,37.6,13.72,2.22
169,1775,319,119,1233.0,NE     E     NW     N     N     NW,38.39,13.92,2.21
170,1791,315,119,1230.0,S     NW     NE     NE     SW     SE,38.78,13.94,2.24
171,1807,312,123,1230.0,E     NE     N     NE     NE     E,38.84,14.01,2.28
172,1821,312,122,1231.0,E     NE     N     NE     NE     E,38.81,14.06,2.3
173,1836,312,122,1221.0,E     NE     N     NE     NE     E,38.72,14.16,2.28
174,1853,314,123,1229.0,E     NE     N     NE     NE     E,38.33,14.16,2.27
175,1867,312,119,1227.0,E     NE     N     NE     NE     E,38.72,14.18,2.3
176,1877,311,117,1224.0,E     NE     N     NE     NE     E,38.86,14.31,2.25
177,1890,310,115,1237.0,E     NE     N     NE     NE     E,39.01,14.33,2.27
178,1903,309,119,1233.0,E     NE     N     NE     NE     E,38.82,14.4,2.23
179,1918,313,118,1231.0,E     NE     N     NE     NE     E,38.29,14.37,2.26
180,1935,308,118,1239.0,E     NE     N     NE     NE     E,38.85,14.39,2.33
181,1948,309,113,1233.0,E     NE     N     NE     NE     E,38.93,14.4,2.36
182,1962,311,112,1230.0,SW     E     E     N     SW     SE,38.65,14.39,2.37
183,1978,315,109,1239.0,SW     E     E     N     SW     SE,38.24,14.42,2.35
184,1996,317,92,1241.0,SW     E     E     N     SW     SE,37.79,14.4,2.37
185,2012,322,107,1241.0,SW     E     E     N     SW     SE,37.32,14.36,2.39
186,2031,331,106,1239.0,SW     E     E     N     SW     SE,36.23,14.3,2.39
187,2068,344,104,1237.0,SW     E     E     N     SW     SE,35.02,14.12,2.4
188,2068,347,104,1222.0,SW     E     E     N     SW     SE,34.33,14.22,2.4
189,2088,353,105,1225.0,SW     E     E     N     SW     SE,33.52,14.21,2.38
190,2110,361,101,1239.0,SW     E     E     N     SW     SE,32.79,14.17,2.4
191,2130,363,103,1216.0,SW     E     E     N     SW     SE,32.31,14.16,2.43
192,2143,358,99,1222.0,SW     E     E     N     SW     SE,32.75,14.27,2.42
193,2154,346,106,1217.0,SW     E     E     N     SW     SE,33.33,14.43,2.4
194,2172,348,112,1219.0,SW     E     E     N     SW     SE,32.66,14.45,2.41
195,2182,340,107,1214.0,SW     E     E     N     SW     SE,33.51,14.55,2.41
196,2200,340,104,1236.0,SW     E     E     N     SW     SE,33.52,14.59,2.39
197,2208,332,105,1224.0,SW     E     E     N     SW     SE,34.11,14.66,2.44
198,2222,325,89,1244.0,SW     E     E     N     SW     SE,34.82,14.68,2.48
199,2235,328,104,1240.0,SW     E     E     N     SW     SE,34.32,14.66,2.51
200,2249,325,101,1241.0,SW     E     E     N     SW     SE,34.68,14.67,2.55
201,2261,314,103,1240.0,SW     E     E     N     SW     SE,35.68,14.78,2.62
202,2286,315,100,1241.0,SW     E     E     N     SW     SE,35.57,14.69,2.63
203,2286,312,100,1238.0,SW     E     E     N     SW     SE,35.88,14.79,2.65
204,2304,319,108,1237.0,SW     E     E     N     SW     SE,34.54,14.76,2.63
205,2320,321,107,1242.0,SW     E     E     N     SW     SE,34.27,14.77,2.66
206,2333,323,102,1240.0,SW     E     E     N     SW     SE,34.22,14.84,2.65
207,2346,315,100,1250.0,SW     E     E     N     SW     SE,35.1,14.91,2.7
208,2358,315,100,1245.0,SW     E     E     N     SW     SE,34.99,14.96,2.66
209,2377,321,105,1245.0,SW     E     E     N     SW     SE,33.96,14.93,2.66
210,2386,316,101,1248.0,SW     E     E     N     SW     SE,34.61,14.95,2.71
211,2404,320,99,1257.0,SW     E     E     N     SW     SE,34.19,14.93,2.72
212,2421,322,98,1259.0,SW     E     E     N     SW     SE,33.92,14.95,2.76
213,2433,322,97,1249.0,SW     E     E     N     SW     SE,33.85,14.96,2.75
214,2445,321,80,1236.0,SW     E     E     N     SW     SE,33.89,14.97,2.75
